"","x"
"225688_s_at",6.28817631174846
"212592_at",8.60386481594768
"238919_at",4.74117011664194
"1554997_a_at",6.24138312980734
"236203_at",5.52235110452531
"205848_at",7.68700584412067
"219454_at",5.93800484365171
"213094_at",6.39690099412124
"235763_at",3.98299226675194
"238206_at",7.23736082986011
"214455_at",5.27994817755394
"210387_at",7.6966969606988
"204748_at",9.37673576595379
"239451_at",6.40458830038956
"1552715_a_at",5.7565132885296
"214472_at",6.06392219154698
"228372_at",6.85993330666659
"229530_at",6.53616125241655
"236193_at",5.85085347232208
"205612_at",7.10711521521233
"229963_at",7.11790364291966
"230836_at",4.62907074835196
"234994_at",4.15576365641922
"232752_at",4.89885682310702
"235342_at",4.30897045881068
"213194_at",6.05735138509222
"224588_at",8.11125158572132
"206950_at",6.04428712611795
"229437_at",8.33087405838117
"222872_x_at",6.52440553075569
"227235_at",6.9884370153708
"226003_at",4.47264600677124
"207426_s_at",5.51072885872742
"233085_s_at",5.90494375784765
"218502_s_at",5.33375833810012
"215071_s_at",8.04910733586838
"202581_at",7.03954334048626
"222908_at",6.92968514481757
"219602_s_at",7.66238303811862
"232235_at",4.08233477394524
"204794_at",8.42694545696282
"219737_s_at",5.62747879629107
"222162_s_at",5.68651577399721
"230791_at",4.50364711040166
"219410_at",5.69081199054004
"228919_at",7.19379271964318
"219304_s_at",6.55991696969464
"228708_at",10.2340046092871
"221728_x_at",7.42128366952234
"231804_at",6.21745418538999
"236451_at",6.58284836950907
"209774_x_at",9.48877864507062
"204753_s_at",5.41029492913834
"205608_s_at",6.0177895260583
"214218_s_at",6.42338833066955
"209839_at",5.61162925929563
"242292_at",4.28976542362117
"210299_s_at",6.88661381508907
"227082_at",5.82516226142637
"235046_at",6.48292161275285
"219871_at",5.35281376912268
"1562235_s_at",4.92984747952006
"205609_at",7.51067791236113
"204438_at",5.98892512864324
"210621_s_at",7.6884780398207
"207850_at",8.33178479718159
"204755_x_at",4.78947584441132
"240574_at",4.57575806245295
"227671_at",6.36953767672448
"223503_at",7.28334651530561
"222885_at",4.78434721541727
"204749_at",8.01461304609194
"202948_at",5.30040411017345
"227314_at",4.24584543887983
"226425_at",7.30066468974702
"222717_at",7.21298612782636
"209480_at",7.01360850906928
"206110_at",6.53733857723282
"203102_s_at",7.5286437943029
"230261_at",4.99604499080742
"224827_at",5.99979083689279
"241991_at",5.50334360327743
"226210_s_at",4.01644130767797
"213388_at",4.85507454881501
"209348_s_at",5.35832284930008
"235852_at",5.43820116910299
"219371_s_at",8.54459717370667
"225897_at",6.85918507312266
"232383_at",6.09231809308027
"216379_x_at",6.0879592922295
"227626_at",6.62381848473771
"238013_at",6.03217339109014
"205637_s_at",5.8894808152459
"213506_at",8.99457802400707
"233011_at",8.86329569582998
"239123_at",4.64913612701309
